Diameter (in),Diameter (mm),Drill size
0.0019,0.0483,#107
0.002,0.05,0.05 mm
0.0023,0.0584,#106
0.0027,0.0686,#105
0.0031,0.0787,#104
0.0035,0.0889,#103
0.0039,0.0991,#102
0.0039,0.1,0.1 mm
0.0043,0.1092,#101
0.0047,0.1194,#100
0.0051,0.1295,#99
0.0055,0.1397,#98
0.0059,0.1499,#97
0.0063,0.16,#96
0.0067,0.1702,#95
0.0071,0.1803,#94
0.0075,0.1905,#93
0.0079,0.2,0.2 mm
0.0079,0.2007,#92
0.0083,0.2108,#91
0.0087,0.221,#90
0.0091,0.2311,#89
0.0095,0.2413,#88
0.01,0.254,#87
0.0105,0.2667,#86
0.011,0.2794,#85
0.0115,0.2921,#84
0.0118,0.3,0.3 mm
0.012,0.3048,#83
0.0125,0.3175,#82
0.013,0.3302,#81
0.0135,0.3429,#80
0.0145,0.368,#79
0.0156,0.3969,1/64 in
0.0158,0.4,0.4 mm
0.016,0.4064,#78
0.018,0.4572,#77
0.0197,0.5,0.5 mm
0.02,0.508,#76
0.021,0.5334,#75
0.0225,0.5715,#74
0.0236,0.6,0.6 mm
0.024,0.6096,#73
0.025,0.635,#72
0.026,0.6604,#71
0.0276,0.7,0.7 mm
0.028,0.7112,#70
0.0292,0.7417,#69
0.031,0.7874,#68
0.0313,0.7938,1/32 in
0.0315,0.8,0.8 mm
0.032,0.8128,#67
0.033,0.8382,#66
0.035,0.889,#65
0.0354,0.9,0.9 mm
0.036,0.9144,#64
0.037,0.9398,#63
0.038,0.9652,#62
0.039,0.9906,#61
0.0394,1,1 mm
0.04,1.016,#60
0.041,1.0414,#59
0.042,1.0668,#58
0.043,1.0922,#57
0.0433,1.1,1.1 mm
0.0465,1.1811,#56
0.0469,1.1906,3/64 in
0.0472,1.2,1.2 mm
0.0512,1.3,1.3 mm
0.052,1.3208,#55
0.055,1.397,#54
0.0551,1.4,1.4 mm
0.0591,1.5,1.5 mm
0.0595,1.5113,#53
0.0625,1.5875,1/16 in
0.063,1.6,1.6 mm
0.0635,1.6129,#52
0.0669,1.7,1.7 mm
0.067,1.7018,#51
0.07,1.778,#50
0.0709,1.8,1.8 mm
0.073,1.8542,#49
0.0748,1.9,1.9 mm
0.076,1.9304,#48
0.0781,1.9844,5/64 in
0.0785,1.9939,#47
0.0787,2,2 mm
0.081,2.0574,#46
0.082,2.0828,#45
0.0827,2.1,2.1 mm
0.086,2.1844,#44
0.0866,2.2,2.2 mm
0.089,2.2606,#43
0.0906,2.3,2.3 mm
0.0935,2.3749,#42
0.0938,2.3813,3/32 in
0.0945,2.4,2.4 mm
0.096,2.4384,#41
0.098,2.4892,#40
0.0984,2.5,2.5 mm
0.0995,2.5273,#39
0.1015,2.5781,#38
0.1024,2.6,2.6 mm
0.104,2.6416,#37
0.1063,2.7,2.7 mm
0.1065,2.7051,#36
0.1094,2.7781,7/64 in
0.11,2.794,#35
0.1102,2.8,2.8 mm
0.111,2.8194,#34
0.113,2.8702,#33
0.1142,2.9,2.9 mm
